./100040/100040_274	180	25	283	163
./100040/100040_360	231	36	331	170
./100040/100040_383	220	49	321	177
./100040/100040_545	111	87	195	192
./100040/100040_545	431	62	508	160
./100040/100040_631	131	76	244	216
./100040/100040_631	423	131	520	245
./100040/100040_718	289	88	434	293
./100040/100040_836	227	63	335	208
./100040/100040_974	356	75	471	215
./100040/100040_974	119	123	234	278
./100040/100040_1007	354	67	488	228
./100040/100040_1057	271	92	428	282
./100040/100040_1127	224	68	414	311
./100040/100040_1162	168	69	362	309
./100040/100040_1222	241	62	354	215
./100040/100040_1223	240	63	351	217
./100040/100040_1523	248	53	349	200
./100040/100040_1596	205	68	364	260
./100040/100040_1665	157	78	236	188
./100040/100040_1665	440	70	515	170
./100040/100040_1811	205	50	405	307
./100040/100040_1854	227	54	422	302
./100040/100040_2091	260	57	369	216
./100040/100040_2401	191	34	405	311
./100040/100040_2438	271	75	441	279
./100040/100040_2610	222	57	343	216
./100040/100040_2818	204	62	324	219
./100040/100040_2890	305	91	399	208
./100040/100040_2981	239	95	362	261
./100040/100040_3038	210	168	361	351
./100040/100040_3184	241	68	445	318
./100040/100040_3255	254	57	371	218
./100040/100040_3317	260	49	380	217
./100040/100040_3530	189	69	403	325
./100040/100040_3772	223	88	391	286
./100040/100040_314	216	55	319	189	1
./100040/100040_298	211	62	314	189	2
./100040/100040_370	222	40	323	172	2
./100040/100040_582	97	139	140	193	9
./100040/100040_582	299	86	329	127	1
./100040/100040_582	153	129	183	167	8
./100040/100040_890	412	74	505	202	9
./100040/100040_1048	288	92	436	279	5
./100040/100040_1271	424	71	523	183	4
./100040/100040_1271	117	104	235	253	10
./100040/100040_1404	211	74	369	262	8
./100040/100040_1571	205	74	363	263	8
./100040/100040_1607	209	82	364	269	8
./100040/100040_1806	209	57	405	309	8
./100040/100040_1929	312	20	353	76	9
./100040/100040_1973	146	71	264	216	4
./100040/100040_1973	434	107	547	230	1
./100040/100040_2117	326	80	482	309	4
./100040/100040_2205	215	90	388	299	4
./100040/100040_2486	264	78	445	300	4
./100040/100040_2547	225	58	342	217	4
./100040/100040_2589	221	58	342	216	9
./100040/100040_2721	292	92	431	262	4
./100040/100040_2865	304	83	397	202	4
./100040/100040_3042	218	190	369	375	4
./100040/100040_3072	276	100	439	295	4
./100040/100040_3141	291	83	468	308	0
./100040/100040_3150	273	91	461	318	4
./100040/100040_3247	255	58	371	220	10
./100040/100040_3419	215	116	408	353	4
./100040/100040_3492	221	56	421	315	4
./100040/100040_3573	221	68	344	225	4
./100040/100040_3582	218	67	343	225	4
./100040/100040_3607	204	87	366	285	4
./100040/100040_3629	207	86	371	282	8
./100040/100040_3714	227	92	390	286	1
./100040/100040_3724	229	90	392	287	8
./100040/100040_3751	232	96	396	290	8
./100040/100040_3869	194	51	333	235	1
./100040/100040_3959	195	47	352	254	2
./100040/100040_4411	360	95	400	143	7
./100040/100040_4529	282	96	394	232	7
./100040/100040_4720	264	52	294	95	9
./100040/100040_4720	125	107	164	150	2
./100040/100040_4742	296	38	337	101	9
./100040/100040_4748	316	36	362	106	9
./100040/100040_4779	296	31	359	120	9
./100040/100040_5048	246	74	371	246	4
./100040/100040_5277	188	63	326	231	4
./100040/100040_5482	199	56	346	244	1
./100040/100040_5770	378	58	479	198	0
./100040/100040_5816	253	66	372	225	6
./100040/100040_6032	308	124	415	276	4
